index,State,Abbreviation,Average Daylight Hours,Binge Drinking Rate (%),Median Drinks per Binge,Top 25% Drinks per Binge,Median Binges per Month,Top 25% Binges per Month,Annual Deaths,Death Rate Increase (%),"Deaths per 10,000 Adults",Male Death Percentage (%),Chronic Death Percentage (%),Over 35 Death Percentage (%),Under 21 Death Percentage (%),Years of Life Lost,Economic Cost ($),Cost per Drink ($),city,country,description,location,state,state_abbrev,longitude,latitude,city_longitude,city_latitude,Audio Evidence,Image/Video Evidence,Haunted Places Witness Count,Time of Day,Apparition Type,Event Type,Daylight Duration,Haunted Places Date,Year,Deaths Caused by Drugs,Population,Crude Death Rate,phase,diameter,distance,distance_nearest_pow,church_count_2km,most_common_religion,entities_detected,TIME,PERSON,PRODUCT,NORP,CARDINAL,DATE,ORDINAL,MONEY,WORK_OF_ART,ORG,GPE,EVENT,FAC,QUANTITY,LOC,LAW,PERCENT,LANGUAGE,Generated Prompt,geoparser_data,Image Name,Caption,Extracted Captions,Fuzzy Avg Similarity,Semantic Avg Similarity,Classnames,ImagePath
1500,California,CA,11.12,16.6,5.5,7.7,1.6,3.7,15443,40.0,5.04,69.1,64.4,86.1,69.1,376899.0,35.011,3.29,Lakewood,United States,June 2008 Correction: Has been removed. Story was untrue,Saint Joseph high school,California,CA,-118.1183485,33.8617582,-118.1339563,33.8536269,False,False,0,unknown,Unknown,unknown,9:56,1/1/08,2008,3863,36604337,10.5534,12.35,1889.5,379317,897.858596,6.0,christian,"[('June 2008', 'DATE')]",,,,,,Jun-08,,,,,,,,,,,,," a haunted Saint Joseph high school, creating a dark and eerie atmosphere. Cinematic horror aesthetics, photorealistic, high detail.",,image_1500.png,"{""captions"": [{""confidence"": 4.108698189759883e-05, ""sentence"": ""a black and white photo of a kitchen with a window""}, {""confidence"": 2.886828036139851e-05, ""sentence"": ""a black and white photo of a kitchen with a window .""}, {""confidence"": 2.3022488040619342e-05, ""sentence"": ""a black and white photo of a kitchen with a large window .""}], ""beam_size"": 3, ""max_caption_length"": 20, ""time"": {""read"": 25, ""captioning"": 993, ""units"": ""ms""}}","['a black and white photo of a kitchen with a window', 'a black and white photo of a kitchen with a window .', 'a black and white photo of a kitchen with a large window .']",31.67,0.5132,"prison, prison house",Generated Image no description 2/image_1500.png
1520,California,CA,11.12,16.6,5.5,7.7,1.6,3.7,15443,40.0,5.04,69.1,64.4,86.1,69.1,376899.0,35.011,3.29,Lomita,United States,"The students share a legend of a haunting by saying that one of the bathrooms is haunted. Someone supposedly died there and now you can see her face in the mirror. - March 2007 update/correction. The school was built in the 1920's and it was a six-year school when the new high school was built it took the name Narbone so the old school had to come up with a new name. This is probably all urban myth. There are other stories one is about a elevator that went up to the third floor, but there is no elevator. One thing is that the school was built in the 1920's and that the school's name was changed to honor Alexander Fleming. The submitter does not remember the school's original name but the name change occurred in the 1940's. The third floor can only be reached by a rather steep set of stairs. The third floor was seldom used because of this fact. There is one hallway up there with about 20 rooms in total, 10 on each side of the hall. Some classes where held on the third floor but it was mostly unused.",Fleming Middle School,California,CA,-118.3138226,33.7923726,-118.3150722,33.7922392,False,True,5,unknown,Ghost,accident with casualty,11:27,3/1/07,2007,3854,36250311,10.6316,13.36,1802.7,397592,140.24781245934295,9.0,christian,"[('March 2007', 'DATE'), ('1920', 'DATE'), ('six-year', 'DATE'), ('Narbone', 'ORG'), ('one', 'CARDINAL'), ('third', 'ORDINAL'), ('One', 'CARDINAL'), ('1920', 'DATE'), ('Alexander Fleming', 'PERSON'), ('1940', 'DATE'), ('third', 'ORDINAL'), ('third', 'ORDINAL'), ('one', 'CARDINAL'), ('about 20', 'CARDINAL'), ('10', 'CARDINAL'), ('third', 'ORDINAL')]",,Alexander Fleming,,,"one, One, one, about 20, 10","March 2007, 1920, six-year, 1920, 1940","third, third, third, third",,,Narbone,,,,,,,,,"Floating human figure appearing at  a haunted Fleming Middle School, creating a dark and eerie atmosphere. Cinematic horror aesthetics, photorealistic, high detail.",,image_1520.png,"{""captions"": [{""confidence"": 0.0046807281558203856, ""sentence"": ""a man riding a skateboard up the side of a ramp .""}, {""confidence"": 0.002874546246557014, ""sentence"": ""a man riding a skateboard down the side of a ramp .""}, {""confidence"": 0.0008331909740695257, ""sentence"": ""a man riding a skateboard down a ramp .""}], ""beam_size"": 3, ""max_caption_length"": 20, ""time"": {""read"": 26, ""captioning"": 999, ""units"": ""ms""}}","['a man riding a skateboard up the side of a ramp .', 'a man riding a skateboard down the side of a ramp .', 'a man riding a skateboard down a ramp .']",8.33,0.5275,"parking meter, crutch, prison, prison house, bannister, banister, balustrade, balusters, handrail, tripod",Generated Image no description 2/image_1520.png
1540,California,CA,11.12,16.6,5.5,7.7,1.6,3.7,15443,40.0,5.04,69.1,64.4,86.1,69.1,376899.0,35.011,3.29,Los Angeles,United States,"Roosevelt High School - R Building - biggest from all the rest and the building is 3 stories high and it long, a couple decades ago the building wasn't 3 stories high it was four and it was to believe that there was a fire and some student died...here's the story, three students were in a class room and it was a dance night in Roosevelt and one of the students was spying on his girlfriend because he believed that she was cheating on him, so he was just looking out the window down into the other students, and his other friends the one's inside the classroom with him left and one of them was smoking a cigarette and when he was going out the door he threw the cigarette in the trash and the whole floor burned and one student died the one that was looking out the window and that's what people believe that cause the fire...now to this day teachers claim that when they stay late at night in the 3rd floor of the ""R"" building they will hear footsteps, doors opening and closing and TV's turning on and off by themselves and the same with the auditorium it's apart of the ""R"" building as well...some students will say that they'll hear claps and whispers when trying to skip classes eventually run out of there.",Boyle Heights,California,CA,-118.2117257,34.0297895,-118.2436849,34.0522342,True,False,3,night,Ghost,accident with casualty,9:56,1/1/05,2005,3214,35827943,8.9707,6.81,1876.6,381921,614.0912971132678,18.0,christian,"[('Roosevelt High School - R Building - biggest', 'ORG'), ('3', 'CARDINAL'), ('a couple decades ago', 'DATE'), ('3', 'CARDINAL'), ('four', 'CARDINAL'), ('three', 'CARDINAL'), ('Roosevelt', 'GPE'), ('one', 'CARDINAL'), ('one', 'CARDINAL'), ('one', 'CARDINAL'), ('late at night', 'TIME'), ('3rd', 'ORDINAL')]",late at night,,,,"3, 3, four, three, one, one, one",a couple decades ago,3rd,,,Roosevelt High School - R Building - biggest,Roosevelt,,,,,,,,"Floating human figure appearing at  a haunted Boyle Heights at night, creating a dark and eerie atmosphere. Cinematic horror aesthetics, photorealistic, high detail.",,image_1540.png,"{""captions"": [{""confidence"": 0.0005544774156424943, ""sentence"": ""a black and white photo of a bathroom""}, {""confidence"": 0.00011233476452921894, ""sentence"": ""a black and white photo of a bathroom with a toilet""}, {""confidence"": 5.823557034436668e-05, ""sentence"": ""a black and white photo of a bathroom with a shower""}], ""beam_size"": 3, ""max_caption_length"": 20, ""time"": {""read"": 22, ""captioning"": 980, ""units"": ""ms""}}","['a black and white photo of a bathroom', 'a black and white photo of a bathroom with a toilet', 'a black and white photo of a bathroom with a shower']",7.33,0.5674,"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin, iron, smoothing iron, refrigerator, icebox, water bottle, water jug",Generated Image no description 2/image_1540.png
1560,California,CA,11.12,16.6,5.5,7.7,1.6,3.7,15443,40.0,5.04,69.1,64.4,86.1,69.1,376899.0,35.011,3.29,Los Angeles,United States,"Students believe the fourth floor is haunted because of it being restricted. any info please email Haunted Places- April 2005 Correction – The rumor is that a boy was murdered up there in the 4th floor. On the 3rd floor witnesses would hear noises down the hallway, as if someone was touching the lockers. Like someone was trying to open the locker type noise. When the submitter of this update would go to the 3rd floor they always wondered why the stairs that lead to the 4th floor would be caged shut. While they attended that school, not once had they ever seen the stairs that lead to the 4th floor ever cleaned. The 3 yrs they attended the same filth would be there. The school was built sometime in 1936.",John Marshall High School,California,CA,-118.2774744,34.1079309,-118.2436849,34.0522342,True,True,5,unknown,Child Ghost,murder,12:33,4/1/05,2005,3214,35827943,8.9707,6.19,1765.6,405943,312.0733358848468,3.0,christian,"[('fourth', 'ORDINAL'), ('Haunted', 'ORG'), ('April 2005 Correction', 'DATE'), ('4th', 'ORDINAL'), ('3rd', 'ORDINAL'), ('3rd', 'ORDINAL'), ('4th', 'ORDINAL'), ('4th', 'ORDINAL'), ('3', 'CARDINAL'), ('1936', 'DATE')]",,,,,3,"April 2005 Correction, 1936","fourth, 4th, 3rd, 3rd, 4th, 4th",,,Haunted,,,,,,,,,"Child floating figure appearing at  a haunted John Marshall High School, creating a dark and eerie atmosphere. Cinematic horror aesthetics, photorealistic, high detail.",,image_1560.png,"{""captions"": [{""confidence"": 0.0004985907881541862, ""sentence"": ""a black and white photo of a fire hydrant .""}, {""confidence"": 0.00042067432032465125, ""sentence"": ""a black and white photo of a fire hydrant""}, {""confidence"": 3.875274723367262e-05, ""sentence"": ""a black and white photo of a person on a skateboard .""}], ""beam_size"": 3, ""max_caption_length"": 20, ""time"": {""read"": 22, ""captioning"": 990, ""units"": ""ms""}}","['a black and white photo of a fire hydrant .', 'a black and white photo of a fire hydrant', 'a black and white photo of a person on a skateboard .']",11.67,0.5248,"spotlight, spot, prayer rug, prayer mat, church, church building, vault, sliding door",Generated Image no description 2/image_1560.png
1580,California,CA,11.12,16.6,5.5,7.7,1.6,3.7,15443,40.0,5.04,69.1,64.4,86.1,69.1,376899.0,35.011,3.29,Los Angeles,United States,Mostly strange sounds in the rooms and the feeling of being followed and watched.,Renaissance Los Angeles Airport,California,CA,-118.3858006,33.9484998,-118.2436849,34.0522342,True,False,5,night,Spooky Sounds,unknown,13:57,5/16/25,2025,Unknown,Unknown,Unknown,84.25,1812.9,395349,1474.3055265319276,1.0,christian,[],,,,,,,,,,,,,,,,,,,"Spooky Sounds appearing at  a haunted Renaissance Los Angeles Airport at night, creating a dark and eerie atmosphere. Cinematic horror aesthetics, photorealistic, high detail.",,image_1580.png,"{""captions"": [{""confidence"": 0.009946803110730955, ""sentence"": ""a large jetliner sitting on top of an airport tarmac .""}, {""confidence"": 0.005433071144164376, ""sentence"": ""a large jetliner sitting on top of an airport runway .""}, {""confidence"": 0.004126825503826397, ""sentence"": ""a large passenger jet sitting on top of an airport tarmac .""}], ""beam_size"": 3, ""max_caption_length"": 20, ""time"": {""read"": 22, ""captioning"": 987, ""units"": ""ms""}}","['a large jetliner sitting on top of an airport tarmac .', 'a large jetliner sitting on top of an airport runway .', 'a large passenger jet sitting on top of an airport tarmac .']",41.33,0.5354,"airliner, wing",Generated Image no description 2/image_1580.png
1600,California,CA,11.12,16.6,5.5,7.7,1.6,3.7,15443,40.0,5.04,69.1,64.4,86.1,69.1,376899.0,35.011,3.29,Los Gatos,United States,"On Old Santa Cruz highway, going toward Los Gatos, a young woman of about 17 or 18 roams around. She can be seen sitting on the side of the road, or walking at twilight.",The summit of the Santa Cruz Mountains,California,CA,-121.9793564,37.130591,-121.9623751,37.2358078,False,True,1,night,Unknown,unknown,12:20,9/18/14,2014,4521,38802500,11.6513,24.4,1772.7,404304,5069.413485326532,,,"[('Santa Cruz', 'GPE'), ('Los Gatos', 'GPE'), ('about 17', 'CARDINAL'), ('18', 'CARDINAL')]",,,,,"about 17, 18",,,,,,"Santa Cruz, Los Gatos",,,,,,,," a haunted The summit of the Santa Cruz Mountains at night, creating a dark and eerie atmosphere. Cinematic horror aesthetics, photorealistic, high detail.","{'Santa Cruz Province': {'Latitude': '-49.0', 'Longitude': '-70.0'}, 'Provincia de Los Ríos': {'Latitude': '-1.41667', 'Longitude': '-79.58333'}}",image_1600.png,"{""captions"": [{""confidence"": 2.3976873296088227e-05, ""sentence"": ""a black and white photo of a building with a clock tower .""}, {""confidence"": 2.0579205277593617e-05, ""sentence"": ""a black and white photo of a church with a steeple .""}, {""confidence"": 1.4411815221320972e-05, ""sentence"": ""a black and white photo of a church with a clock tower .""}], ""beam_size"": 3, ""max_caption_length"": 20, ""time"": {""read"": 23, ""captioning"": 1004, ""units"": ""ms""}}","['a black and white photo of a building with a clock tower .', 'a black and white photo of a church with a steeple .', 'a black and white photo of a church with a clock tower .']",31.0,0.551,"viaduct, water tower, church, church building, picket fence, paling, park bench",Generated Image no description 2/image_1600.png
1620,Colorado,CO,10.97,19.8,5.6,7.6,1.6,3.7,2623,45.4,5.82,67.7,61.3,83.1,67.7,71300.0,5.057,2.89,Boulder,United States,"Macky Auditorium - There is reputedly a brown-clad man who haunts one of the building's towers. He seems to be harmless, but there is a bit of local legend connecting him with some documented murders in the building.",University of Colorado,Colorado,CO,-105.2659417,40.007581,-105.2705456,40.0149856,False,True,5,unknown,Unknown,murder,9:24,1/1/25,2025,Unknown,Unknown,Unknown,1.47,1877.5,381744,3477.9205531869165,,,"[('Macky Auditorium - There', 'PERSON'), ('one', 'CARDINAL')]",,Macky Auditorium - There,,,one,,,,,,,,,,,,,," a haunted University of Colorado, creating a dark and eerie atmosphere. Cinematic horror aesthetics, photorealistic, high detail.",,image_1620.png,"{""captions"": [{""confidence"": 9.44443000511497e-05, ""sentence"": ""a large building with a clock tower on top .""}, {""confidence"": 7.069854392828599e-05, ""sentence"": ""a building with a clock tower in the middle of it .""}, {""confidence"": 5.888174954644547e-05, ""sentence"": ""a building with a clock tower in the middle of it""}], ""beam_size"": 3, ""max_caption_length"": 20, ""time"": {""read"": 26, ""captioning"": 985, ""units"": ""ms""}}","['a large building with a clock tower on top .', 'a building with a clock tower in the middle of it .', 'a building with a clock tower in the middle of it']",28.33,0.707,"palace, church, church building",Generated Image no description 2/image_1620.png
1640,Colorado,CO,10.97,19.8,5.6,7.6,1.6,3.7,2623,45.4,5.82,67.7,61.3,83.1,67.7,71300.0,5.057,2.89,Colorado Springs,United States,"The tunnels along the road are haunted by the spirits who built the in the 1800's, the road was originally a railroad from Colorado Springs to cripple creek but was the tracks were later removed to allow for transportation by car. - March 2005 Update: The national Forest Service is talking about opening this tunnel and making it accessable for one way traffic. The people in the community have 60 dyas to let the forest service know what they want to do but the Forest Service will make a decision July 2005.",Gold Camp Road,Colorado,CO,-104.9145829,38.7864065,-104.8213634,38.8338816,False,False,0,unknown,Ghost,supernatural,14:50,7/1/05,2005,608,4631888,13.1264,0.17,1869.4,383400,10023.426729261437,,,"[('1800', 'DATE'), ('Colorado Springs', 'GPE'), ('March 2005', 'DATE'), ('The national Forest Service', 'ORG'), ('one', 'CARDINAL'), ('60', 'CARDINAL'), ('the Forest Service', 'ORG'), ('July 2005', 'DATE')]",,,,,"one, 60","1800, March 2005, July 2005",,,,"The national Forest Service, the Forest Service",Colorado Springs,,,,,,,,"Floating human figure appearing at  a haunted Gold Camp Road, creating a dark and eerie atmosphere. Cinematic horror aesthetics, photorealistic, high detail.","{'Colorado Springs': {'Latitude': '38.83388', 'Longitude': '-104.82136'}}",image_1640.png,"{""captions"": [{""confidence"": 0.0005065062463561614, ""sentence"": ""a man standing on a beach holding a surfboard .""}, {""confidence"": 0.0002268140892022541, ""sentence"": ""a man standing in a field holding a frisbee .""}, {""confidence"": 0.00013979344417432347, ""sentence"": ""a man standing in a field with a frisbee .""}], ""beam_size"": 3, ""max_caption_length"": 20, ""time"": {""read"": 22, ""captioning"": 1083, ""units"": ""ms""}}","['a man standing on a beach holding a surfboard .', 'a man standing in a field holding a frisbee .', 'a man standing in a field with a frisbee .']",14.67,0.4865,"cloak, abaya, fur coat, suit, suit of clothes, shovel",Generated Image no description 2/image_1640.png
1660,Colorado,CO,10.97,19.8,5.6,7.6,1.6,3.7,2623,45.4,5.82,67.7,61.3,83.1,67.7,71300.0,5.057,2.89,Denver,United States,"Red Rocks Amphitheater - Apparitions of an old man was standing on the ""restricted"" side of the railings. He looks to be an old miner. He was about 5'5, white, beard, dirty brownish hat with a bottle in his hand. He appears for just a few seconds then disappears.",Denver County,Colorado,CO,-104.990251,39.7392358,-104.990251,39.7392358,False,True,0,unknown,Male Ghost,unknown,9:26,1/1/25,2025,Unknown,Unknown,Unknown,1.47,1877.5,381744,713.1095689736778,9.0,christian,"[('Red Rocks Amphitheater - Apparitions', 'ORG'), (""about 5'5"", 'CARDINAL'), ('just a few seconds', 'TIME')]",just a few seconds,,,,about 5'5,,,,,Red Rocks Amphitheater - Apparitions,,,,,,,,,"Male floating figure appearing at  a haunted Denver County, creating a dark and eerie atmosphere. Cinematic horror aesthetics, photorealistic, high detail.",,image_1660.png,"{""captions"": [{""confidence"": 7.790585061209825e-05, ""sentence"": ""a black and white photo of a man holding a baseball bat .""}, {""confidence"": 2.9692231788038276e-05, ""sentence"": ""a black and white photo of a man holding a baseball bat""}, {""confidence"": 2.8915162075818305e-05, ""sentence"": ""a black and white photo of a man in a park""}], ""beam_size"": 3, ""max_caption_length"": 20, ""time"": {""read"": 29, ""captioning"": 1054, ""units"": ""ms""}}","['a black and white photo of a man holding a baseball bat .', 'a black and white photo of a man holding a baseball bat', 'a black and white photo of a man in a park']",24.33,0.6052,"suit, suit of clothes, tusker, book jacket, dust cover, dust jacket, dust wrapper, Indian elephant, Elephas maximus, megalith, megalithic structure",Generated Image no description 2/image_1660.png
1680,Colorado,CO,10.97,19.8,5.6,7.6,1.6,3.7,2623,45.4,5.82,67.7,61.3,83.1,67.7,71300.0,5.057,2.89,Englewood,United States,"reports of glowing eyes with a great feeling to leave, at least the basement.",formerly the Forney Transportation museum,Colorado,CO,-104.9706817,39.7777881,-104.9877597,39.6477653,False,True,0,night,Unknown,unknown,10:38,10/29/19,2019,Unknown,Unknown,Unknown,4.17,1934.4,370510,1156.4759332068322,7.0,christian,[],,,,,,,,,,,,,,,,,,," a haunted formerly the Forney Transportation museum at night, creating a dark and eerie atmosphere. Cinematic horror aesthetics, photorealistic, high detail.",,image_1680.png,"{""captions"": [{""confidence"": 0.00529157422562394, ""sentence"": ""a black and white photo of a train""}, {""confidence"": 0.003824676131403225, ""sentence"": ""a black and white photo of a train .""}, {""confidence"": 0.0018436482884831844, ""sentence"": ""a train traveling down tracks next to a forest .""}], ""beam_size"": 3, ""max_caption_length"": 20, ""time"": {""read"": 26, ""captioning"": 976, ""units"": ""ms""}}","['a black and white photo of a train', 'a black and white photo of a train .', 'a train traveling down tracks next to a forest .']",36.0,0.5582,"passenger car, coach, carriage, freight car",Generated Image no description 2/image_1680.png
1700,Colorado,CO,10.97,19.8,5.6,7.6,1.6,3.7,2623,45.4,5.82,67.7,61.3,83.1,67.7,71300.0,5.057,2.89,Fort Morgan,United States,"Trails run for more than a mile from Riverside Park, to the Ponds, with swamp like land and thick woods. The trail runs all along the South Plate River, and the whole way to the Ponds, you can hear and sense spirits. Some people have become possessed, or followed by spirits. Rumors have called her the River Witch, a woman in the 1900's who practiced the dark arts, and was treated very badly by all of Fort Morgan's residents, so one night she was sick of it and walked into the river, killing herself. Most of the spirits revolve around her. You can feel the bad energy out there, and you hear them, and can see glowing eyes in the trees.",Nature Trails at Riverside Park,Colorado,CO,-103.7977183,40.2661715,-103.7999509,40.2502582,True,True,5,night,Female Ghost,supernatural,9:22,1/1/00,2000,352,4301261,8.1836,6.81,1876.6,381921,795.5929439015905,1.0,christian,"[('Riverside Park', 'FAC'), ('Ponds', 'ORG'), ('the South Plate River', 'LOC'), ('the River Witch', 'ORG'), ('1900', 'DATE'), (""Fort Morgan's"", 'ORG'), ('one night', 'TIME')]",one night,,,,,1900,,,,"Ponds, the River Witch, Fort Morgan's",,,Riverside Park,,the South Plate River,,,,"Female floating figure appearing at  a haunted Nature Trails at Riverside Park at night, creating a dark and eerie atmosphere. Cinematic horror aesthetics, photorealistic, high detail.","{'River Nile': {'Latitude': '19.0', 'Longitude': '33.2'}, 'Riverside County': {'Latitude': '33.74368', 'Longitude': '-115.99386'}}",image_1700.png,"{""captions"": [{""confidence"": 0.00039759893321745805, ""sentence"": ""a woman walking down a street holding an umbrella .""}, {""confidence"": 0.00036607485834775055, ""sentence"": ""a woman walking down a sidewalk holding an umbrella .""}, {""confidence"": 8.366744780712248e-05, ""sentence"": ""a woman walking down a street holding a black umbrella .""}], ""beam_size"": 3, ""max_caption_length"": 20, ""time"": {""read"": 25, ""captioning"": 983, ""units"": ""ms""}}","['a woman walking down a street holding an umbrella .', 'a woman walking down a sidewalk holding an umbrella .', 'a woman walking down a street holding a black umbrella .']",14.0,0.5582,"cloak, abaya",Generated Image no description 2/image_1700.png
1720,Colorado,CO,10.97,19.8,5.6,7.6,1.6,3.7,2623,45.4,5.82,67.7,61.3,83.1,67.7,71300.0,5.057,2.89,Highlands Ranch,United States,"Laughing and footsteps in the halls can be heard when alone and shadows walking in the halls in the corner of there eye. Hear teachers talking when there are none in the halls at that time. There are also strange occurrences in the ""F"" wing where you feel people following you and when you look no one is there. You can also feel things fly by you head and there is nothing to be seen. The last thing is the ""Gym"" hall seem to have a person walking on the tile and there is no one to be seen.",Thunderridge High school,Colorado,CO,-105.0109921,39.53485,-104.9739333,39.5480789,True,True,5,unknown,Spooky Sounds,unknown,9:27,1/1/25,2025,Unknown,Unknown,Unknown,1.47,1877.5,381744,5579.951567156291,,,"[('F', 'PRODUCT')]",,,F,,,,,,,,,,,,,,,,"Spooky Sounds appearing at  a haunted Thunderridge High school, creating a dark and eerie atmosphere. Cinematic horror aesthetics, photorealistic, high detail.",,image_1720.png,"{""captions"": [{""confidence"": 0.000322844845990562, ""sentence"": ""a black and white photo of a building""}, {""confidence"": 0.00013626223838867035, ""sentence"": ""a black and white photo of a train station .""}, {""confidence"": 0.00010742510249539978, ""sentence"": ""a black and white photo of a train station""}], ""beam_size"": 3, ""max_caption_length"": 20, ""time"": {""read"": 25, ""captioning"": 1044, ""units"": ""ms""}}","['a black and white photo of a building', 'a black and white photo of a train station .', 'a black and white photo of a train station']",14.33,0.594,"freight car, water tower, trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi, barn, prison, prison house",Generated Image no description 2/image_1720.png
1740,Colorado,CO,10.97,19.8,5.6,7.6,1.6,3.7,2623,45.4,5.82,67.7,61.3,83.1,67.7,71300.0,5.057,2.89,Mesa Verde,United States,The spirits of the ancient Anasazi walk in and around the ceremonial pit houses (kivas).,Cliff Palace,Colorado,CO,-108.4735637,37.1671092,-108.4618335,37.2308729,False,True,5,unknown,Ghost,supernatural,14:22,5/23/97,1997,Unknown,Unknown,Unknown,67.35,1822.2,393319,23560.30529,,,"[('Anasazi', 'ORG')]",,,,,,,,,,Anasazi,,,,,,,,,"Floating human figure appearing at  a haunted Cliff Palace, creating a dark and eerie atmosphere. Cinematic horror aesthetics, photorealistic, high detail.",,image_1740.png,"{""captions"": [{""confidence"": 0.000341673294472354, ""sentence"": ""a black and white photo of an old building""}, {""confidence"": 7.49621564143562e-05, ""sentence"": ""a black and white photo of a man and a woman""}, {""confidence"": 6.108426777241882e-05, ""sentence"": ""a black and white photo of a man in a suit""}], ""beam_size"": 3, ""max_caption_length"": 20, ""time"": {""read"": 24, ""captioning"": 1001, ""units"": ""ms""}}","['a black and white photo of an old building', 'a black and white photo of a man and a woman', 'a black and white photo of a man in a suit']",31.33,0.5344,"prison, prison house, umbrella, vault, cloak, barn",Generated Image no description 2/image_1740.png
1760,Colorado,CO,10.97,19.8,5.6,7.6,1.6,3.7,2623,45.4,5.82,67.7,61.3,83.1,67.7,71300.0,5.057,2.89,Thornton,United States,If you go up to the Brittany Hill Restaurant after closing walk up to the old mansion doors and you can see the ghost of a man holding his wife in his arms. The owner of the mansion was caught cheating on his wife and she jumped out the tower window when he saw her dead he hung him self in the tower now they both stand up in the tower window together,Brittany Hill,Colorado,CO,-104.9842156,39.8663691,-104.9719243,39.8680412,False,True,2,night,Male Ghost,murder,9:25,1/1/25,2025,Unknown,Unknown,Unknown,4.48,1891.4,378945,1733.0747789580646,2.0,christian,"[('the Brittany Hill Restaurant', 'ORG')]",,,,,,,,,,the Brittany Hill Restaurant,,,,,,,,,"Male floating figure appearing at  a haunted Brittany Hill at night, creating a dark and eerie atmosphere. Cinematic horror aesthetics, photorealistic, high detail.",,image_1760.png,"{""captions"": [{""confidence"": 0.0005550501914865681, ""sentence"": ""a man standing on a beach holding a surfboard .""}, {""confidence"": 0.00031320622666263794, ""sentence"": ""a man standing in the snow holding a snowboard .""}, {""confidence"": 0.00026796706901847104, ""sentence"": ""a man standing in the snow with a snowboard .""}], ""beam_size"": 3, ""max_caption_length"": 20, ""time"": {""read"": 24, ""captioning"": 1017, ""units"": ""ms""}}","['a man standing on a beach holding a surfboard .', 'a man standing in the snow holding a snowboard .', 'a man standing in the snow with a snowboard .']",21.67,0.5129,"abaya, cloak, cliff, drop, drop-off, shovel, umbrella",Generated Image no description 2/image_1760.png
1780,Connecticut,CT,10.88,18.7,5.2,6.5,1.6,3.5,1426,55.3,4.97,68.2,55.2,84.9,68.2,36201.0,3.029,2.75,Bethel,United States,"In a boarding house on the Danbury end of the street, there is a room where one man committed suicide and another overdosed on heroin. Former residents of the room report hearing screams in the night and the illusion that the walls are melting.",Wooster St.,Connecticut,CT,-73.415733,41.3784187,-73.4139621,41.3712283,True,False,5,night,Spooky Sounds,accident with casualty,9:15,1/1/25,2025,Unknown,Unknown,Unknown,4.48,1891.4,378945,978.4634425,3.0,christian,"[('one', 'CARDINAL'), ('the night', 'TIME')]",the night,,,,one,,,,,,,,,,,,,,"Spooky Sounds appearing at  a haunted Wooster St. at night, creating a dark and eerie atmosphere. Cinematic horror aesthetics, photorealistic, high detail.",,image_1780.png,"{""captions"": [{""confidence"": 0.00022882823197486473, ""sentence"": ""a building with a clock tower on top of it .""}, {""confidence"": 0.00015069270516445055, ""sentence"": ""a building with a clock tower on top of it""}, {""confidence"": 3.7997756031186774e-05, ""sentence"": ""a building with a clock tower and a building in the background .""}], ""beam_size"": 3, ""max_caption_length"": 20, ""time"": {""read"": 26, ""captioning"": 1003, ""units"": ""ms""}}","['a building with a clock tower on top of it .', 'a building with a clock tower on top of it', 'a building with a clock tower and a building in the background .']",25.0,0.6122,"palace, picket fence, paling, church, church building, castle",Generated Image no description 2/image_1780.png
1800,Connecticut,CT,10.88,18.7,5.2,6.5,1.6,3.5,1426,55.3,4.97,68.2,55.2,84.9,68.2,36201.0,3.029,2.75,Cornwall Bridge,United States,"A deserted town that is said to have gone mad and died off, located in Cornwall, CT. After a long walk through the woods the path opens up to reveal old foundations and cellar holes from a lifetime ago. Here it is said that glowing orbs of light can be seen swirling around, and on occasion have even occurred during the day. There are many reports of odd happenings occurring to those that visit Dudley Town. Hearing faint drum sounds, feelings of dread and sadness, and feeling a presence all around you. - Update - People are not allowed in there anymore. Cops DO watch and will ticket even if you drive up there to the entrance.",Dudley Town,Connecticut,CT,-73.338047,41.814843,-73.3707551,41.8187793,True,True,5,unknown,Ghost,unknown,10:37,10/26/80,1980,Unknown,Unknown,Unknown,1.21,2005.9,357310,20917.528697595208,,,"[('Cornwall', 'GPE'), ('CT', 'ORG'), ('a lifetime ago', 'DATE'), ('the day', 'DATE'), ('Dudley Town', 'PERSON')]",,Dudley Town,,,,"a lifetime ago, the day",,,,CT,Cornwall,,,,,,,,"Floating human figure appearing at  a haunted Dudley Town, creating a dark and eerie atmosphere. Cinematic horror aesthetics, photorealistic, high detail.","{'Cornwall': {'Latitude': '50.41667', 'Longitude': '-4.75'}}",image_1800.png,"{""captions"": [{""confidence"": 0.001532586165659303, ""sentence"": ""a woman walking down a street holding an umbrella .""}, {""confidence"": 0.0013244299690802876, ""sentence"": ""a man walking down a street holding an umbrella .""}, {""confidence"": 0.0010475256776729643, ""sentence"": ""a person walking down a street holding an umbrella .""}], ""beam_size"": 3, ""max_caption_length"": 20, ""time"": {""read"": 24, ""captioning"": 983, ""units"": ""ms""}}","['a woman walking down a street holding an umbrella .', 'a man walking down a street holding an umbrella .', 'a person walking down a street holding an umbrella .']",14.0,0.5483,"shoji, sliding door, prison, prison house",Generated Image no description 2/image_1800.png
